model_a,model_b,spearman_rho,spearman_pval,top10_jaccard,top20_jaccard
cnode,node,0.9993279327932791,1.55612849063204e-142,0.8181818181818182,1.0
cnode,linear,0.9943474347434743,2.870154456056391e-97,1.0,1.0
cnode,residualmlp,0.9961596159615961,1.781487628742306e-105,0.8181818181818182,1.0
cnode,attention,0.997971797179718,4.8241329438216457e-119,0.8181818181818182,1.0
node,linear,0.9939873987398739,5.8646408365062005e-96,0.8181818181818182,1.0
node,residualmlp,0.9963396339633963,1.7020336243650044e-106,1.0,1.0
node,attention,0.9978757875787578,4.641721858943106e-118,1.0,1.0
linear,residualmlp,0.9932913291329132,1.2366293636200898e-93,0.8181818181818182,1.0
linear,attention,0.9944914491449144,8.131626420271849e-98,0.8181818181818182,1.0
residualmlp,attention,0.9960396039603958,8.023959885635045e-105,1.0,1.0
